text,true_label,predicted_label
Siraf . million,1,2
Agar aap ne bina aansuon ke suna hai to aap ne sahi nahi suna,2,0
😂 wa duky bhai is back,2,1
Wow lovely ❤❤,2,1
Should i update form s24 ultra 512gb to this s26 ultra?,0,2
BaHir Kya chaL raHa hai mjhe NHI pata,2,0
😂😂 india mai ye dedh lakh ka hi hai bewkoofo,0,2
Please SUBSCRIBE 😭🙏😘😘🇵🇰🏏,2,1
Who's listening in July,1,2
Ye to pasoori wala hal kiya hai song k sath,2,0
min wali clip was relatable,2,1
Bhai Pakistan ka kya haal hoga agar yeh Prime Minister ban gaya 😑,0,2
Jab main 8th class mein tha yeh gana aya tha ❤,1,2
mai tota howa Dil hu ❤ March,2,1
when aroob look at Saad ayhai 😂😂❤❤,2,1
Rap sung by ta girl is pakistani....but jo attire hai...orange....aur kya chiye....baaaaas vivaad hona baki hai😅😂,1,2
O ni mngda tkt ta Taj jhera Muhammad Dy Dr da gulam a ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,1
Hello Aroob api ducky ki gf Thi Naam rumaisa😊,1,2
"The way Ayra used to insult Kamyar, he could never bring himself to hurt her the same way… but today, for the first time, he gave her a small taste of that pain.”😢🙌🏻🙌🏻 Kamyar doesn’t want a love that comes from guilt… he wants love from the heart, not charity given out of regret.”❤kamyar 🥺🫡🫶🙌🏻",1,0
Ducky brand 🦆🦆🦆🦆,2,1
USKO dekne jher Lagta hai😂,0,2
Apna coke studio de aur hmara suparstar arjun kapoor le lo,0,2
Main Talha ko chahta hoon ❤,1,2
The only youtuber i can listen before bed,2,1
Kamiyar ne us ke sath bura kiya 😂😂😂😂😂😂,0,2
Ducki barad,1,2
Iran gorilla war ki tayari mein lag raha hai most probably in worst case scenario.,2,0
Main Gohar-e-Yakdana This Line Goosmup ❤️👍,2,1
Ducky bhai ap pubg dobRA start kr doo,0,2
FINLLY BHAI KO YAAD AA GAYA KA MERA YOUTUBE CHANNEL BHI HA😅😅😅😅😅😅,1,2
Khareed nahi sakta lakin video to daikh sakta hoo😂😂😂😂,2,0
Aagai yaad humari🥲,0,2
Sallallahu alayhi wasallam 💚🖤,2,1
Aroob jitni bi pyaari ho laikn ap sy pyaari nahi ho sakti❤,2,1
Yar itna chota sa 😢 😭 but koi ni ap Roz vlog upload Kiya karo plz plz plz,0,2
Birthday scene 😂😂😂😂🤦‍♂️,2,1
"""meri doi meri Marzi""😂😂😂",0,2
Zara parda hata do 😂,2,0
Will come back bro❤❤,1,2
"Treason of Church Was Historic God Wisdom ,",1,2
Kya baat hai 👏,2,1
"What a wonderful start. I mean, hahahaha 😀",2,1
Wah bhai wah!! Birthday celebrate karke hi chhora😂 galat script ke dukh mein bhi maja aa gya😂😂,2,1
"Bhai, ek PS5 de do 😢😢 pls",0,2
Yrr ap smile main achy lgty ho chup rahna ap ky liye nhn bana ap ky sath jo hua in sub ko sabak sikao yrr bs 😢😢aj hasany wala banda chup hai 😢miss you bro,2,0
Writer be like o bhai maro mujhy maro😂😂😂,0,2
Ducky bhai ap ni mera laga ya comments,0,2
Dance bohot funny hai,2,1
Luv u Bhai❤❤,2,1
Indian people jealous of our songs 😎,2,1
"Isko itni akal nahi, galat Fariya ne kiya us ke sath daily ghoomti.",2,0
Kamiyar tum kaun ho ❤,0,2
moty vlogs Q nh dalty,0,2
master piece ❤,2,1
We want Ramadan vlog,1,2
Oay khotay de puttar ! Sharam karo hayya karo be ghairat insaan.,2,0
Bas yeh sun ke sukoon hi ho jata hai.,1,2
Kamiyar ki chhoti behan bhi na aa jaye 😂😂😂😂,2,0
Finally lady singer wearing Bhagwa in Pakistan.....Jai Shri Ram,2,1
Mera Question kaha giya 😢,0,2
Finally ducky bhai ko yaad agya ke iss ka aik YouTube channel bhi hai,1,2
Aroob ko itna mat karo ke uske bache ho😂,0,2
"Abbe yaar subah subah kon party, drink karti hai.",0,2
We want old ducky back,2,1
Very third class story with first class actors,0,1
Zabardsst Faisal Bhai,1,2
"It’s a Pakistan song but I am Indian, Bharat Mata ki jai.",2,1
Ducky cheated romaisa,0,2
100book Videos Plz ❤😢,0,2
Asal cheez tou Iran main regime change Karna ha Jo usa establishment ko pata ha nhi ho paye ge,2,0
My Favorite Drama ❤,0,1
Bro future mein Johnny Sins banne wala hai.,0,2
Ayra should leave him now then he would come to his senses,0,2
Mere baba ne ducky bhai ko pakra hai Promise,0,2
Ghr k bara mn btao k fake kha,2,0
Ducky bhai itna chhota QNA,2,0
Who is there from Hyderabad Pakistan,1,2
"Kya kahoon yaar, no words to express",2,0
Faria pmo please kill her,0,2
Asif ... how good iZ that ? A plus what's ur fav song,2,1
Subhan ALLAH ❤️❤️❤️❤️❤️,2,1
Nidaa badar dada ki mohallae se.poti.,2,1
The guy ruined it!,1,0
Dadu charger wali sakal wala Rajab se paiga na lana,2,0
wow yaar dil jhoom utha💗💗💗💖💖💖,2,1
The one Kamyar truly loves is Fariya not Ayra..😑,0,1
Feels like I'm floating somewhere else…,2,1
Tati Bhai bacha Bhi kr lo,0,2
ye rap ka kiya mazak hai?,0,2
Ramadan karam❤❤❤ 6th roza😊😊,2,1
ducky bhai daily vlog kion nhi ata plz itna intzaar na krvaya karen,2,0
Kb Balochistan ayo gya aroob ka sath big fan aroob baji,1,2
Ducky bhai main aapse naraz hun,0,1
Very busy couple,2,1
Mota mota mota 😅😅😅😅😅😅😂,0,2
uriewessa budhaes heusss ihdhzes jhsidifpdis has dog rjwdjd hdjx,0,2
Aap ki batane ke andaj alag,1,2
O God 😂😂😂😂😂😂😂😂,1,2
Ap ki hip konsi color ki,0,2
Magnificent quwal nfak,2,1
Would best tech youtuber video wali sarkar,1,2
Mujhe yaad hai jab ye song Uber mein chala tha aur maine apne English Uber driver ko Shazam karte dekha,1,2
Hamz I can help you 😢😢😢😢,0,2
Okay Okay Okl1 also try and find the day off and work the Thursday but I'm 😀😀😀😀😀,1,2
Wo energy ni bhaya,2,1
So funny episode 😂,2,1
Makers of this drama are destroying this masterpiece day by day,1,0
Allah ❤❤❤❤ ho akbar❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2,1
What a stupid writer 🤣,0,2
Master piece 💕,2,1
M bi bohat sunta hoooooo.... Meri shop k pass in ki qbr h,0,2
Falto ho gaye bas ab ye,0,2
3rd Roza of Ramadan ..❤,2,1
Powerful lyrics and the singing simply touches your soul. Wow,2,1
Labbaik Ya Rasool Allah,2,1
Jiye Imran Khan,1,2
Mashala kitni mithi hai humaari balochi language❤,2,1
episode nahi aa raja hai,2,0
WASSIF E BISMAL HNN ❤❤❤,2,1
Ab new case ane Wala he ducky pe vlog na dalne pe,0,2
"Kamiyar sirf Ayra ke laayak hai, koi aur nahi... Ayra us ke liye perfect hai..",1,0
Ducky bhai ap NY mery question ka reply Nii diya ? 😢,0,2
Yeh bhe ek kayamat ki neechani main se ek hain,0,2
part mara question lo,0,2
Itna bura kiya Faria ne jhooti video waghera phir bhi abhi tak rabta kyun bhai kyun,2,0
Kya koi itni khoobsurat poetry explain kar sakta hai?,2,1
Start 🔥 ❤end 😢😂,0,1
Ducky bhai Maza niiii aya ywrrr,2,0
Is Fariya ka bhi Qayamat wale din alag hi hisaab hoga 😬,2,1
Kamiyar kaun tha jo ek aur musibat Ayra par aa gayi,2,0
No no aroob no beautiful dakey is the beautiful ok,2,1
Such a nostalgic story at end . Kamyar is blaming on Ayra however she is doing such a fantastic job with his family and everyone.,0,1
