text,label
❤🇮🇳🇮🇳 ind se kon dekh raha hai❤,1
❤❤ Avery butiful calam ❤,1
❤❤ JazaakAllah Khair ❤️,1
❤❤ piyar hai tum se ❤❤❤😂😂😂,1
❤❤ sahi love you ❤❤❤❤,1
❤❤❤ ❤❤❤❤❤❤❤❤❤❤❤❤❤❤Beshak achi qawali ❤❤❤❤❤❤❤❤,1
❤❤❤ Allah tala aapko lambi Umar di bhan❤❤ best abida bhan,1
❤❤❤ ducky bhai ka pichware. 😂😂😂😂😂😂😂😂😂😂😂😂😅😅😅😅😅😅,0
❤❤❤ hello ducky bhai aapke ham log Nahin aate bahut bahut hai please aap bahut jaldi please,1
❤❤❤ kia bat hai janu Vicky Bhai,1
❤❤❤ love' 💕❤️ india se,1
❤❤❤ kia baat h ❤❤❤,1
❤❤❤❤ Hazrat Muhammad ❤❤❤❤ salleh allah walleh wassalam❤,1
❤❤❤❤ Mashallah Kai bat ha,1
❤❤❤❤❤,1
❤❤❤❤❤ bht khobsurat naat,1
❤❤❤❤❤❤ Mukaram ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1
❤❤❤❤❤❤❤❤❤❤❤ ❤❤❤❤❤❤❤❤❤❤❤ ❤❤❤❤❤❤❤❤❤❤,1
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ alpha music,1
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ love you all,1
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ amazing ❤,1
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤MASHALLAH SUBHAN ALLAH❤,1
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😢❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,1
❤❤❤❤❤❤❤🎉🎉🎉🎉🎉 fasail ali,1
❤❤❤❤❤❤❤Masha Allah Masha Allah beshak,1
❤❤❤❤❤❤😂🎉🎉🎉😮😊 bht khoob,1
❤❤❤❤❤❤Bas ek hi baat kehna hai.......Maditation koi tough job nehi hai....bas headphone lagao or baki Abida ji ke upar chod dijia,1
❤❤❤❤❤Ali Mola Ali Mola ❤❤❤❤❤,1
❤❤❤❤❤MA SHA ALLAH ❤❤❤❤❤ ❤❤❤❤❤Labaik Hazrat Muhammad Pak (S.A.W)❤️❤️❤️❤️❤️,1
❤❤❤💚💚💚🇧🇩🤲🤲🤲🤲🤲🤲🤲🤲,1
❤❤❤Aj ya arhan hain 😊lahore❤,1
❤❤Kon hai Ali Wali ka Gullam❤❤,2
❤a❤❤❤❤😊😊 ubaid 🎉🎉🎉,1
❤Aroob my sister 🥹 ducky bahi Mera bara Bhai ha love you dono❤,1
❤Aroob my sister 🥹💔and ducky Bhai 🎉,1
❤Beautiful naat ❤,1
❤best hy par end kiya hoga❤,1
❤big love big repakets Duck bahi ap ko dik kar youteuob satat keya ha aiger ap nah youteyoub chordiya to samaj lo mane be chordiya big fan ho apka wor 7sal sa apko like karta ho mare shazadi bahi Ap live setrem papg wale woder sa moja papg ka shok howata jab ap nah chora per mane be chordiya papg ❤😢❤i love you brother hamasha happy rahna wor bahbe g ka khayal rakna ❤ ap ka chota bahi saddam ❤,1
❤Mashallah jeeyo hazar sal Ya Ali Mula ❤,1
❤mashallah❤ ma koi nahi,1
❤My uncle 🎉🎉🎉😂😂😂😂,1
❤️Sall❤️allahu❤️ alaihi walaihi wasallam❤️ ❤️Sall❤️allah❤️u alaihi walaihi wasallam ❤️❤️Sall❤️allah❤️u alaihi walaihi wasallam❤️ ❤️Sall❤️allah❤️u alaihi walaihi wasallam ✨❤️,1
🎉 acche gane,1
🎉🎉🎉🎉🎉🎉 kamli wala❤❤❤❤❤,1
🎉🎉 Muhammad Saw 😃🕋🕌🕌🕋🕌🕌🕋🕋🕋🕌🕋🕌💖❤️❤️💖💖💖❤️❤️,1
👍 Coke Studio Balochistan,1
👣 👣 👣 👣 👣 👣 👣 🕋 👣 👣 👣 👣 👣 👣 👣 👣,0
👿Trump👺👺,0
💖 💖 💖 💖 💖,1
💖 ÅL'HÃMD Ô LILLÃHPÅK 💖 💖MÃ'SHÃH'ÅLLÃHPÃÃK💖 💖SÛBHÃÃÑ'ÅLLÅHPÅK 💖,1
💖🔥🇵🇰 Pakistan ka shahzada yr plz live Aya kro ducky extra pr ❤❤,1
💙💙💙💙💙💙💙💙💙💙💙💙💙💙❤️❤️❤️❤️💙❤️💙❤️🍏🍏🍏🍏🍏🍏🍏,1
🤗🤗ADVANCE EID MUBARIK DUCKY,1
🤗love you always ducky bhai aur ap ki bacpan ki video me ap ke father ne kha ka ap hafizequran ho to please ak video ma koi surat ki tilawat sunaye❤❤,1
🤣 Celebrity 🤣: Jhany 🤣 sins 😂 and 😂 That 😂 next 😂 comment 🤣 reply 🤣 tara 🤣 pio 😂 very 🤣🤣🤣😂😂😂😂,0
🥺🥺she is ❤,1
🦆 Bhai help,2
😂 😂😂 😂 😂 😂 😂😂 😂 😂😂 😂 😂😂 😂 😂 😂 😂😂 😂 ,2
😂 Badi jaldi aaja bhai Tum ko lagaya hai tum aaoge,2
😂 Google mein search karo Uski girlfriend hai,2
😂 u subscribe ok,2
😂 wa duky bhai is back,2
😂😂 arood api your so cute,1
😂😂 birthday ha hi ni phr bi celebration 🎊🎊😂😂,2
😂😂 india mai ye dedh lakh ka hi hai bewkoofo,0
😂😂😂 face rivel,2
😂😂😂 tucky Bhai,2
😂😂😂. Very funny ducky bhai 😅😅😅 nice dance 😂,2
😂😂😂😂 kamyar so funny 😂😂😂,2
😂😂😂😂 pahadon mein suraakh,2
😂😂😂😂 so funny scenes 😂😂😂😂,2
😂😂😂😂😂 big fan ducky bhai,1
😂😂😂😂😂 ducky bahi 😂,2
😂😂😂😂😂 ly happy krdi yr or cap chk krooo😂😂😂,2
😂😂😂😂😂 old ducky 😂,2
😂😂😂😂😂😂😂😂😂😂😂 aapko Nigeria ham log maaf karte,2
😂😂😂😂😂😂😂you are so funny 🎉,1
😂😂😂😂😂😂he is very funny,1
😂😂😂baby sirf rona janta hai,0
😂😂😂kmiyr yr bs kr do 😊ayra k sth itna mis behav kr raha hai 😮😮😮,0
😂😛ducky Bhai ap mere frav Pakistani number. . vlogger ho,1
😂smart planning 50min sy he door he q hy sab chalak 😂,1
😂Yah ACha Tha HahhahaA 😂😂,1
😂Yr itna chota vlog😂,0
😅😅😂😂 hahaha hahaha 🤣🤣🤣,2
😊Anyone Come From Judwaaz Review😮,2
😍😐🥲🥰 citny pyari naat ha,1
😢 ab to vlogging bhi nhi,0
😢😢😢ap ny mera name nai lia 😢😢😢 I am so sad😢😢,0
😢nabi ishk chuka tu 😢,0
😭😭mara comment nahi Liya,0
100book Videos Plz ❤😢,0
101M veiws 😅,2
10M pr kia kro ge?,2
12th Rul ul Awal ❤Mubark hooo,1
1st roza ko sun Raha hun 💖💖 mashallah,1
23rd August ❤,1
27th Ramadan ❤,1
2k subscribe karva do 😢😢,2
2nd marriage prank on aroob please,2
2nd marrige prank with aroob,2
2ND ROZA ❤❤❤,2
2x per suno bhoot maza aay ga,1
30k camera phone kon sa lo,2
3pm ko kon disco open karta hai 😅 only in Pakistan,0
3rd ROZA ?,2
3rd Roza of Ramadan ..❤,2
3rd roza Ramadan,2
480p aa rai bhai,2
4th Roza ❤,2
4th roza any one here?,2
4th Roza of ❤,2
4tha roza Mubarak ho ap sab ko,2
5nlly legend is backkkkkkk🎉 ❤❤❤❤❤,1
6fab Friday ❤,2
6packs ya family pack,2
6th roza of 😊,2
6th roza❤sahre 4am,2
7th roza Mubarak❤❤🎉,2
7th roza of ❤ Anyone here??,2
7th roza of Anyone here???,2
800k ka to srp phone hai kasa ghareb ho Allah sab ko apke Tara gareeb karai,0
A drama or nehi dekha jayega... Bakwas ho gaya hai😤,0
A gaya oo wapise❤❤❤,1
"A girl who actually ruined his life he's with him, Papa shadi k lye agree hue phir disagree, phr agree phir disagree 😂, He's being a Drunked dog in routine and everyone is taking him normal trying, kya message dy rhy ho society ko Bhai.. Super flop hy yahin stop krdo episodes",0
a jo sunslik ke mashore ate ha is na ban ka rishta diya ha,0
Aroob 😅 beautiful,1
bakwas story,0
A true legend.lkn afsos hum legend ki qadar nhi karte hy .... lot's of love from Dubai...,1
AA Allah Pak sab student KO Har teste mn kamyabi dey ameen,2
Aa Gya 🙀✅🤣🤣,1
Aaaa ja tera he intazar tha 🎉,1
Aaaj meree dp ko daikh kr Meree comment ko reply or like kro,2
Aab to bakwaass lag rahi hai,0
Aaby gandu hr video m jail jail krta hy chutiya h kyya ?,0
Aagai yaad humari🥲,0
Aagh khati hai ye aurat 😂,2
Aagya MOTA sand,0
Aaira k pass pehn'ny k liye kuch acha nahi hai?,0
Aaj ka episode bakwas tha,0
Aaj se only Saturday pe aayega aeh drama,2
Aaj tak is se boring drama nhn dekha 😡,0
Aap apni begam ko jo hai aapka ek sawal hai ki agar aap point per a gaye . million per to aap apni begam ko ganja karoge yah Mera pakka vada Hai aapse aroob agar aapane Nahin karaya to main aapke ghar mein ghus Gaya ki begam ho Gaya karunga,0
Aap aroob aapi ki baat kun a nahi mante,0
Aap bahut acche ho,1
Aap bahut acche ho bhai Jaan,1
aap Din Mein Kitni namazein padhte Ho,2
Aap ek gadi bhi nahin Le sakte mahangi,0
Aap Jo YouTube per uski video dekhte the usmein subscribe kahate the😂😅❤,2
Aap Ka baby girl kab hona hai tow baby girl,2
Aap kahan per rahte hain aapki shaadi ko kitne sal ho Gaye aapka baby kab a raha hai,2
Aap ki batane ke andaj alag,1
AAP Ki Pahli larky romaisa khan hai,2
aap ki videos ka be-sabri se intezar rehta hai. 🥰,1
Aap ki videos ka intajar karta hu,1
Aap Kitni Pyari Ho. Aroob ducky Bhai aap bhi Pyare Ho😍,1
Aap ko tatti kab aati hai,0
Aap lucky hn bro... South korea mn ye mobile abhe iss ki booking start hoi hai aor March ko daikhnay ko milay ga😅,2
Aap Nabi sallallahu alaihi vasllam per karodon durudo Salam,2
Aap to land,0
Aapka baby kab a raha hai,2
Aapka baby kab hoga,2
Aapka baccha kab hoga,2
aapka naam dhakki kyon hai tatti bhi aapko sab bolate Hain,0
Aapko aur hamari bhabhi ko Allah Apne big fan,1
Aapko yah Roop ke sath paint kyon karte hain,2
Aapne bts ki copy ki hai kiyuke bts apne fan ko bolte hai army aap se pehle bolte we aahrahe hai😊,0
Aapp bhut handsome lg rahe❤❤❤,1
aause auratein mujhe miljaye ... do tukre kardungi .. ye writer of this story fucked up .. success se sayed dimaag kharab hogaya hai ...,0
Ab aap zabardasti drame ko khech k lamba karrahy hy.behda lag raha ye fariya k sath.agar apni biwi ko saza hi dyni hy to kisi or tariqay se dydyta,0
Ab America face saving chahta h,2
AB AOLOOG DEKH SKTY HAIN HAMRY IDARY GOVERNMENT MAHWISH HAYAT KO TAMGHAYE IMTIYAZ DY SKTY HAI AWARDS DYTY HAIN ABIDA PARVEEN KO ASA KUCH ZIYDA NAHI DIYA GA JITNI INKO IZZAAT DYNA CHYE UTNI NAHI DEE GAYE YHE HAIN HAMRAY IDARAY,0
Ab ap drama ko bakwas bna rhy ho,0
Ab ap ne Karna ha Roz vlog ok,2
ab bas bhi kardo kamyar! Khouf karo jisne zindegi barbad kardi usi ke sath party?,0
Ab bas krdo yar drama khench rhe hain bas,0
Ab boring ho raha ha Bus b karoo yar khatum karo ab intrust khatum ho raha hai,0
Ab coke studio live nahi hota hai kya jaise coke studio season tk hai ??,2
"Ab drama end ho chuka hai,bas nautanki chal Rahi hai,audience ko chodu bsnaya ja raha hai,kamyar over acting kar raha hai",0
Ab is drama ko kharab kar rahay hain ... making it unnecessarily lengthy..,0
Ab kahin kamyar ka bhai behen na ajaye,2
Ab kamiyar bht bura LG rha mujy so irritating,0
Ab kamiyat overacting hai yrrrr,0
ab kya hua tum na bhi min ki video bna di,0
Ab last episode hi dekhoun gii,2
Ab mje ye drma dehkny ka dil ni krta😢,0
Ab new case ane Wala he ducky pe vlog na dalne pe,0
Ab QNA mein ayega,2
Ab rahne do isshe bakeah kux Nahi ye kya tha episode kya tha story writing to kissi kute SE Kam Nahi kux vi Bana doggo channel bad hai to bakwah,0
Ab s25 ultra khareed leyti houn :)),2
ab to kamyar se zyada mujhe khawar green flag lag raha hein yawr,0
Ab to Wo dosra hero acha lgne lg gia h yr 😂😂😂😂,0
Ab toh Khawar seems better than Kamyar,0
Ab TU Kaisi Kam ka nhi raha darma,0
Ab video unfunny atii Ducky ki,0
Ab vlog apni toi me gusawoo😮,0
Ab vlogdalo roz warna ma tuii marni ap ki😡😡😡,0
ab ya drama over ho rha hy,0
Ab ye drama bor ker raha h,0
Ab ye drama kisko kisko boring lagta hai,0
Ab ye serial boor karne laga yr,0
ab zara or daramas,0
Ab zara vlog galdi dall dena,2
Aba pe nai Jane ka😂😂😂,0
Abb KAmyar ka Scene Over hogaya hai Drama,0
Abb too aadat seee haaai saad koo aisee jeene mein heeeeeeeeeeee!,0
abbe mote jaldi video upload kiya kar,0
"Abbe yaar subah subah kon party, drink karti hai.",0
Abda Parveen ❤️❤️❤️❤️,1
Abdia Parveen ❤️,1
Abdul wahab bugti ❤️,1
Abdul Wahab bugti ❤❤❤,1
Abdul wahab bugti❤,1
Abe agenda sans le le boli ja Raha hai,0
Abe begrat insan😂,
Abe bencho😂 Kisne ase plastic or gyi gujri style k area me ghum ghum k gane ka idea diya tha Bhai katai Road chhap gayak se bhi gye guzre lag rhe the,0
Abe Burke wala bachcha kiska gum hogya he 😁👻👻👻,0
Abhe boosri k kdr rehte o fata fat roz video upload karo,0
Abhi abhi bilai abbas ka drama chekh dekh kr ai ho or ab es drama me es se nafrat kio feel ho rai h😢😂😂,0
Abhi bhi to Ramzan Chal rha hai kahn hain vlogs?,2
"Abhi Chand din pehlay aap ka tajzeeya yeh tha k US itnay bare warships ko Instagram aur TikTok posts k liye tau nahi le k aaraha,millions dollars kharch horahe Yeh IRAN par zaroor confirmed hamla karengey; Aaj Aapka tajzeeya changed hai k US estb Trump ko dokha de rahi AUR woh hamla nahi karna chahte??🤷..The point is; it's all speculations, no one knows what exactly is going on in their brain but seems like it's a booby trap; Kuch na Kuch nuqsan yeh kar k jaenge Iran ka. Baqi Allah reham kare divided Muslim umma k Haal py.",0
Abhi kasam dene wale Aate hi honge 😅,0
Abhii mjhe Kon kheLaiii ga ye BataIo,2
abi tak auntie wapis q nai geay 😂😮,2
Abida G Allah ki naymat hain world ky liye ❤️,1
Abida ji ❣️🙏,1
Abida ji ❤❤,1
Abida ji ❤🎉,1
Abida ji👌👌👌🕌👏👏Bahot khoob..Allah pak aap ka naya saal mubarak ho🕌🙏🏻❤️⭐️🌈🎹🎸Regards India,1
"Abida mam aap hamesha khush raho ,healthy raho.. aap alag ho .. a fan from India 🇮🇳 ♥️",1
Abida Parveen .. MASHA ALLAH..ALLAH pak apko or bhi himmat de,1
Abida parveen ❤!,1
Abida Parveen ❤❤❤❤,1
Abida Parveen 🎉ap great ho ge 🌹♥️,1
Abida Parveen ak sukun ka naam hai,1
Abida Parveen g Mashallah❤❤ Mola slamt rkhen apko hmesha apki lmbi Zindagi ho ameen illahiameen 🙏🏻,1
Abida parveen jesa aur koi Nahi,1
Abida parveen ji🌹❤️👍,1
Abida parveen ko promote krna chaye she is kmaaaal singerrre,1
Abida parveen saheba ❤,1
"Abida Parveen Saheba ko Aadab, Bharat me bhi aapke aawaz aur Sufi ada ke deewane hai....bajuz masti wa madhoshi, na bashad heech samanam.....ye aapki aawaz me sunkar mehsoos hota hai,",1
Abida parveen zinda bad,1
Abida Praveen Pakistan ko fakhar hai aur hamesha rahey ga app pe,1
Abida X israr ❤❤,1
Aby Bharwoo saraii jahaz urhal Gaye...train chAllLiii Gye.. HellpoTer chaLLlaii Gye... Mai kidhar jaoo ... Ek GaLi... Abi abhi Bataoo...,0
aby episode kab ayegi agli,0
Acha chal rha tha fzool m indian dramo ki tra lamba or lamba kr rhy...bs end kro ab,0
Acha hai Bhai tu ahgaya❤,2
Acha hy magaar Punjab Samaj Mai nahe ata,0
acha khasa kam krta tha yeh banda pta nhi yeh cartoon kiun ban geya hai yaar. Oya Wapis ajao Ducky .,0
Acha mobile Hy agr 60k to 80k tk mil jaye,1
Acha saqib bhai ticon ke back bone side q nhi hai,0
Achy actors sp bilal abbas ko aainda itna ghatya drama nahi karna chahaye kia writer director ne waste barbad kia talent jaahil gadhy writer director bas haraam cheezen normal dkwhayeen begheraton ne,0
ackting to tite hai,1
Acting acha h but store bakwas,0
actors ✅ story worst❌,0
Adobe aur aapka couple bahut achha hai,1
Adver-taiz-ment ❌ Adver-tiz-ment ✅,0
Aeroplane ki khubsurat ladki Bhai aap,1
Aesey e losi losi girls partiya krti😂😅,0
Afghan Jalebi Singer :-),2
Afsoos button after long time video uploading 😢,0
After ifteri kon Delhi raha,2
Ag thek asa song nhi sona❤,1
Agae ho ga kiya ki Tum arrest hojao ge 😂😂😂😂,0
Again Eid Mubarak pyara whishes❤❤❤❤❤❤❤😊🎉🎉🎉🎉🎉,1
Again trip to indonasia,2
bakwas episode 😢😮😮🥴😡🤬🤬,0
Agale vlog mein mera name ly livna AHMAD plzz Ducky Bhai plzz plzz,2
Agar aap yah blocking karte ho to Allah Tala Ko Yad karne se login Mein Barkat Aaegi,2
Agar ayra ka ma bap hota toh kya hota😢,0
Agar Iran se war mein Kisi AK bhe ship ko Kuch noqsan hu gia TU en bare bare ship ka darr khatam hu gae ga pher china Taiwan ke war mein en ka hold kam hu gae ga,2
Agar is ki shai and time pe koi ayra k vedio dikhata kamyar ko wo kaise reactkarta,2
Agaya wapis mu utha ker jab dil kera vlog dal deya . jab dil keya nai dala ham mulazim hai apky .....😢,0
ager ap ma himat ha to moja ps5 da ka dekayo ager himat ha to verna kisi ko na do this is a challange,2
Agli video din bad🫨😀,2
Agr ap Ameer or YouTuber NH hoty na aroob ap kabi bi NHai Milty,0
Agr kamyar badal skta hai to Ham dosry larko sy kiyaaa umeed rakhy 🥲,0
Ahaan. chass Aajati Hai abida parveen k kalaam sun kr. Ronghty khare hojaty hain.,1
Aik keep ki tarah treat karta hy kamyar is chipkali ko lakin woh sath chipki rehti sharam sy khali😊,0
Aik wakia sunata hun... Aik din Saad jab pagal ho kar assalamualaikum jiiiiii kar Raha tha us ko tatti a gyi phir Saad ne captain America wali shield pehni or .3cm ki tatti kar ke so gya😮,0
Ainda Roz vlog bana na,0
aira ki ankho ma anso hmmm dil toot gya yaar ye kamyaar sy ALLAH pochy,0
aira me apki cousin hun abeeha,2
aira yaha khawar ke maa ko ye b to bol skti thi na k ye sb usk bety ke waja se ho rha he,2
Airport per jao hole hole sajna dance karo😊,2
Aisa he hay,2
AISA mat bola karo ducky Bhai ke bare ma unko bura lagta ha,2
"Aj haqiqat me is Kalam ka MATLAB samjh aya,,, ❤❤❤❤❤",1
Aj hi live concert me sun kr aya hun 😂,2
Aj ki taza khabar ducky bhai ab is dunya ma nahi raha kue ka dunkey bhai agaye ha 🎉,0
AJ Kitna Kha rhy nashty m😂,2
Aj kon kon yy kwali soon raha hy❤,2
Aj kon sun rha h,2
Aj Maza a,1
Aj pata laga comment per triple tap karne se reply hota hai😂,2
Aj roza ha or roz sunta or sakoon milta ha bohat zaid most favourite qwali and this word end lvl Alhamdulillah hum hazat muhammad SAW ka umti ha 🫀😇,1
𝑨𝒋 𝒓𝒐𝒛𝒂 𝒌𝒊𝒔 𝒌𝒊𝒔 𝒏𝒆 𝒓𝒂𝒌𝒉𝒂 𝒉𝒚 ❤❤!,2
AJ wali episode nhi ayi bi kya🥺,0
Ajeeb hi drama hy jiska sara qaoor tha uskay mazay chal rahay hain aur jo be-gunah hy jisne muhabbat ke hy usko sari saza mil rhi hy..mtlab kuch bhiii,0
Ajeeb irritated ho gya Hy drama 😡,0
Ajeeb kutty ka bacha hy kamiyar khula lo ajeeeb musibat,0
Ajman UAE overseas Pakistani ❤❤❤❤,1
Ajou Faisal Bahi ❤❤❤,1
Ak tuta hoa dil hon 💔,0
"Akhir Q music k sath itni ""PAK"" HASTIYON k name Liye jaty Hain ?? 😔",0
Akhrat ki fiqar Kareen please 🙏🙏🙏🙏🙏🙏🙏🙏,2
Alhamdulillah // Ameen,1
Alhamdulillah 💗 YouTube ka badsha ducky bhai back ❤😘,1
Alhamdulillah faria mom is going 😅😢,0
Alhamdulillah for everything,1
Alhamdullaha JAZAK ALLAH KHAIR FOR THIS ❤😊,1
Alhumdulillah hum sunty hai,1
Ali A.S ka ghulam hu men ❤️,1
Ali Ali 💚,1
Ali Ali Ali,2
Ali Bhai Zabardast❤❤,1
Ali da pehla nmbr,2
Ali ki gulam nehi Allah ki ghulam ham Ali hamara sahara,2
Ali mera murshed,2
Ali mola Ali mola,2
Ali Mola Ali Mola,2
Ali peace be uopn him Muhammad,2
All bakwass 😑,0
mera favourite hai yeh,1
Allah ❤❤❤❤ ho akbar❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,2
Allah 🎉🎉🎉🎉🎉🎉🎉😅😢😮🎉😮🎉😮🎉😮🎉😮😂😂🎉😅❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂😂❤❤❤ Allah Hu Akbar,2
Allah abida ji ko lambi umar de 🤲,1
ALLAH ALLAH ALLAH ALLAH ALLAH,2
Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah AllAh Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah❤❤❤❤❤❤❤❤❤❤tan❤pak❤Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah❤Allah pak sab beemaro ko shifa ata faramay ❤ Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah Allah❤Pak Muhmmad( SAW),2
Allah Allah kia kehny,2
Allah ap ko jannat ba😢😢😭😭😭😭😭😭😭🤲🤲🤲🤲🤲🤲😣😓😭😭😭😭😭😭😭😭 chachu,1
allah apke rizq main azafa farmain Ameen,1
ALLAH apki mushqalien asaan kry.....ameen,1
Allah apko etani sahat da ga ap Roz vlog dalo,1
Allah Apko Wasta apne Muhammad S.A.W. Ke Sadqe In Ko Jannat Mein Alwa Maqam Atta Farma Ameen,1
Allah Apne pyare Muhammad k sadke mujhe beta ata kar,2
Allah bad shah,2
Allah ham sab k gunaho ko maaf farmaye 🤲,2
Allah ham sab ko kamyab kar ❤,2
Allah hamari abda saahiba ko lambi umar dy izat or shohrat dy love 💖 you abda giii,1
Allah hamdu lillah,2
Allah ho Akbar.😢,2
Allah hu akbar ❤ Salam S.A.W❤,2
Allah hu akbar❤,2
Allah Hu Akber ❤,2
ALLAH HU ALLAH AKBAR WAMIN SHARRI HAASDIN IZA HASAD,2
allah hum sab ko makkha ki sair karwaye inshasllah azawajallah,2
allah inko jannat-ul-firdos mein muhammad (saw) ka humsaya bnaye ameen,2
Allah is fariya ko maro or jail pounchaooo plss yr jaan chorwaye s or is kamyar ka bhi dfaa krwayoo literally toxicccc,0
Allah is my only hope.....😔😔😔😔 Yaa Allah Humari zindagi per raham atta farma🌺🌺🌺🌺🌺,2
ALLAH aik hai,2
"Allah is great, Trump jaisa bohot se 🐶 aye or chale gaya",0
Allah janat me jaga dy ❤❤🎉🎉,1
Allah ka nam pe Ahmad gamerz ko subscribe karo,2
Allah ka radsool pe mera pura khandan qurban ❤,2
Allah ka sukhr h mere wife doctor h❤❤,2
